Rok,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Pocet hlasu lidi,Pocet hlasu v %,Pořadí kand.,Pořadí zvoleni,Mandát
2018,Boček Pavel,MUDr.,57,KDU-ČSL,KDU-ČSL,3765,2.61,3,5,*
2018,Bogner Michal,Bc.,34,ČSSD,ČSSD,2965,2.1,33,36,-
2018,Bohun Josef, ,39,BPI,BEZPP,223,2.1,0,28,-
2018,Bokr Tomáš, ,45,NK,BEZPP,2256,2.14,0,22,-
2018,Bornová Kateřina,MUDr.,49,OPAT,BEZPP,1851,2.3000000000000003,0,24,-
2018,Bosák Pavel, ,48,Piráti,BEZPP,6208,2.41,1,1,*
2018,Bozděch Jiří, ,42,SPD,SPD,2341,2.15,0,15,-
2018,Brabcová Danuše, ,60,Piráti,BEZPP,5428,2.1,22,29,-
2018,Brabcová Pavlína,Mgr.,43,ČSSD,ČSSD,2850,2.02,40,44,-
2018,Brabec David, ,38,TOP 09,TOP 09,3166,2.1,19,23,-
2018,Brabec Miroslav,Mgr.,63,ČSSD,ČSSD,3289,2.33,7,10,-
2018,Braun Milan,Ing.,32,ANO,BEZPP,10532,2.15,12,12,*
2018,Brázdová Jitka, ,43,ODS,ODS,10101,2.07,23,36,-
2018,Brčková Lenka,Ing.,45,Svobodní,Svobodní,1968,2.44,0,4,-
2018,Brejcha František, ,67,NK,BEZPP,382,1.97,0,29,-
2018,Brejcha Karel, ,32,Monarchiste.cz,BEZPP,264,1.95,0,26,-
2018,Brejcha Václav, ,62,KSČM,KSČM,2524,2.03,41,44,-
2018,Brichcínová Martina,Bc.,33,ANO,ANO,10365,2.12,19,32,-
2018,Brodzianská Lenka,Ing.,65,ODS,ODS,10160,2.08,22,35,-
2018,Brousilová Markéta, ,25,NPJS,BEZPP,1382,2.28,0,3,-
2018,Brunclík Miloslav, ,57,Monarchiste.cz,BEZPP,287,2.12,0,16,-
2018,Brunclík Tomáš, ,25,Monarchiste.cz,BEZPP,282,2.09,0,18,-
2018,Březina Pavel,Ing.,73,KSČM,KSČM,2598,2.09,31,34,-
2018,Bubeníčková Ivana,Ing.,52,ANO,ANO,10492,2.14,9,22,-
2018,Budková Světlana,Bc.,37,ČSSD,ČSSD,2988,2.11,32,35,-
2018,Burcal Miroslav, ,27,SPD,BEZPP,2089,1.91,0,47,-
2018,Burešová Pavla, ,47,Soukromníci,BEZPP,153,1.78,0,44,-
2018,Candra Václav, ,43,ANO,ANO,10192,2.08,24,37,-
2018,Carda Tomáš, ,26,NPJS,BEZPP,1243,2.05,0,29,-
2018,Cerhová Romana, ,52,NK,BEZPP,129,9.71,0,2,-
2018,Cihlář Marek,Bc.,32,NPJS,BEZPP,1270,2.09,0,9,-
2018,Cihlář Zdeněk, ,60,NPJS,BEZPP,1134,1.87,0,46,-
2018,Cikán Martin,Mgr.,32,Monarchiste.cz,Monarchiste.cz,288,2.13,0,9,-
2018,Cinádr Václav,Mgr.,29,STAN,BEZPP,1762,2.19,0,29,-
2018,Cudlman Miroslav,Ing.,60,KDU-ČSL,BEZPP,2797,1.93,36,40,-
2018,Cvrček Pavel,Ing.,36,STAN,BEZPP,1729,2.15,0,39,-
2018,Čapek Jiří,Ing.,36,Piráti,BEZPP,5579,2.16,15,22,-
2018,Čapková Vladimíra,Ing.,40,KDU-ČSL,BEZPP,2847,1.97,33,37,-
2018,Čech Pavel, ,35,NPJS,BEZPP,1088,1.79,0,47,-
2018,Čech Svatopluk, ,49,TOP 09,TOP 09,3208,2.13,13,17,-
2018,Čechura Jiří, ,56,Soukromníci,BEZPP,165,1.93,0,24,-
2018,Čermák Filip, ,41,NPJS,BEZPP,1169,1.92,0,45,-
2018,Čermák Jakub,Mgr.,33,ODS,ODS,10334,2.12,6,19,-
2018,Čermák Petr, ,50,NPJS,BEZPP,1270,2.09,0,15,-
2018,Černá Michaela, ,29,Piráti,Piráti,5577,2.16,8,15,-
2018,Černík Jaroslav, ,54,Piráti,BEZPP,5479,2.12,16,23,-
2018,Černý Jan, ,40,Soukromníci,BEZPP,178,2.08,0,34,-
2018,Černý Martin,Ing.,43,KDU-ČSL,BEZPP,2991,2.07,10,14,-
2018,Černý Zdeněk, ,37,NPJS,BEZPP,1244,2.05,0,16,-
2018,Čiviš Ladislav, ,66,NK,BEZPP,365,1.88,0,38,-
2018,Čížková Lenka, ,49,Monarchiste.cz,BEZPP,273,2.02,0,30,-
2018,Daniel Antonín, ,55,ODS,ODS,9933,2.04,27,40,-
2018,Daňková Magdaléna,Mgr.,36,Piráti,Piráti,6146,2.38,2,4,*
2018,Degtjarjova Martina, ,33,Soukromníci,BEZPP,171,2.0,0,8,-
2018,Dezort Martin,Ing.,44,STAN,BEZPP,1958,2.43,0,6,-
2018,Dischinger Ivan, ,55,ODS,ODS,10345,2.12,8,21,-
2018,Dmitrišin Ondřej, ,24,Monarchiste.cz,BEZPP,249,1.84,0,38,-
2018,Domanický Petr,Ing.,45,TOP 09,TOP 09,3666,2.44,3,13,*
2018,Donatiénová Božena, ,70,Monarchiste.cz,BEZPP,257,1.9,0,19,-
2018,Dort Jakub, ,41,NK,BEZPP,2237,2.12,0,14,-
2018,Drábeček Karel, ,73,Monarchiste.cz,BEZPP,244,1.8,0,40,-
2018,Drábečková Nataša, ,46,Monarchiste.cz,BEZPP,233,1.72,0,35,-
2018,Dražka Jan, ,26,KSČM,KSČM,2741,2.2,21,24,-
2018,Drechslerová Martina, ,47,ODS,ODS,10391,2.13,7,20,-
2018,Drnek Jan, ,57,Monarchiste.cz,Monarchiste.cz,410,3.04,0,2,-
2018,Drnek Jan, ,27,Monarchiste.cz,BEZPP,275,2.03,0,31,-
2018,Drnková Magdalena, ,59,Monarchiste.cz,BEZPP,268,1.98,0,25,-
2018,Drnková Rozálie, ,31,Monarchiste.cz,BEZPP,248,1.83,0,37,-
2018,Drozd Jaromír, ,59,ČSSD,ČSSD,2996,2.12,24,27,-
2018,Drtil Tomáš, ,34,Piráti,BEZPP,5085,1.97,36,43,-
2018,Duchek Vladimír,doc.,53,NK,PVP,2587,1.79,43,47,-
2018,Duras Jindřich,RNDr.,60,TOP 09,BEZPP,3509,2.33,16,20,-
2018,Dvořák Michal, ,42,NK,BEZPP,430,2.22,0,10,-
2018,Dvořák Petr, ,36,SPD,BEZPP,2299,2.11,0,27,-
2018,Dvořáková Adéla, ,34,SPD,SPD,2418,2.22,0,10,-
2018,Egrmajerová Ladislava, ,49,Soukromníci,BEZPP,175,2.04,0,21,-
2018,Eisenhammer Jan, ,63,Monarchiste.cz,BEZPP,281,2.08,0,11,-
2018,Fajt Richard, ,45,BPI,BEZPP,215,2.03,0,22,-
2018,Falcníková Vladimíra,Ing.,56,NK,BEZPP,2195,2.08,0,11,-
2018,Farhan Kamal,MUDr.,49,ANO,ANO,10598,2.17,9,9,*
2018,Farník Petr,Bc.,32,TOP 09,TOP 09,3041,2.02,28,32,-
2018,Fenclová Michaela, ,26,Soukromníci,BEZPP,156,1.82,0,41,-
2018,Fischer Jan, ,40,NPJS,NPJS,1716,2.83,0,2,-
2018,Fišer Petr, ,45,ANO,ANO,10687,2.18,5,5,*
2018,Fišerová Iveta, ,43,Monarchiste.cz,BEZPP,264,1.95,0,22,-
2018,Fládr Martin,Mgr.,46,KDU-ČSL,BEZPP,2951,2.04,25,29,-
2018,Fluxa Jan,PhDr.,38,TOP 09,TOP 09,3647,2.42,1,3,-
2018,Fojtíček Ctibor,Ing.,80,KDU-ČSL,BEZPP,2796,1.93,37,41,-
2018,Folda Jiří, ,34,OPAT,BEZPP,1757,2.18,0,13,-
2018,Forejt Josef,Ing.,56,NK,BEZPP,382,1.97,0,32,-
